date_applicable,total_tonnage,recycling_tonnage,refuse_tonnage,OBJECTID
9/23/2019,176.88,73.69,176.88,153
9/24/2019,159.7,63.41,159.7,154
9/25/2019,185.85,76.44,185.85,155
9/26/2019,168.88,65.25,168.88,156
9/27/2019,148.01,63.59,148.01,157
9/28/2019,0.8,0,0.8,158
9/30/2019,179.25,63.06,179.25,159
10/1/2019,160.93,56.15,160.93,160
10/2/2019,188.45,63.2,188.45,161
10/3/2019,165.39,84.87,165.39,162
10/4/2019,139.08,54.25,139.08,163
10/5/2019,0.38,0,0.38,164
10/7/2019,182.93,70.44,182.93,165
10/8/2019,174.53,63.42,174.53,166
10/9/2019,198.51,77.67,198.51,167
10/10/2019,170.04,75.35,170.04,168
10/11/2019,146.59,57.22,146.59,169
10/12/2019,0.82,0,0.82,170
10/14/2019,169.58,56.53,169.58,171
10/15/2019,167.75,58.85,167.75,172
10/16/2019,186.5,60.88,186.5,173
10/17/2019,161.86,77.93,161.86,174
10/18/2019,140.76,53.95,140.76,175
10/19/2019,0.47,0,0.47,176
10/20/2019,0.37,0,0.37,177
10/21/2019,180.65,67.31,180.65,178
10/22/2019,156.78,58.51,156.78,179
10/23/2019,187.59,70.61,187.59,180
10/24/2019,136.51,70.07,136.51,181
10/25/2019,151.51,57.88,151.51,182
10/26/2019,0.52,0,0.52,183
10/28/2019,185.35,26.2,185.35,184
10/29/2019,177.4,60.12,177.4,185
10/30/2019,193.35,58.23,193.35,186
10/31/2019,162.71,76.86,162.71,187
11/1/2019,131.6,49.11,131.6,188
11/2/2019,0.48,0,0.48,189
11/4/2019,192.1,71.08,192.1,190
11/5/2019,174.95,64.15,174.95,191
11/6/2019,217.31,80.3,217.31,192
11/7/2019,165.55,70.5,165.55,193
11/8/2019,149.35,57.08,149.35,194
11/9/2019,0.43,0,0.43,195
11/10/2019,2.2,0,2.2,196
11/11/2019,159.34,62.52,159.34,197
11/12/2019,137.84,49.58,137.84,198
