Meeting_ID,Topic,Scheduled_Start_Time,Zoom_Meeting_Start_Time,Zoom_Meeting_End_Time,Duration,Participants,Recording,Agenda_Link,Minutes_Link,Start_Date,Start_Time,Meeting_Duration,Committee
970 1293 5691,"Equal Opportunities Commission: Meeting of July 9, 2020",5:00:00 PM,2020-07-09 16:33:00,2020-07-09 19:51:00,3:17:44,48,Yes,https://madison.legistar.com/View.ashx?M=A&ID=795594&GUID=E7F04D2A-CF87-47E4-832F-39B55EAA05FD,https://madison.legistar.com/View.ashx?M=M&ID=795594&GUID=E7F04D2A-CF87-47E4-832F-39B55EAA05FD,7/9/2020,16:33,0 days 03:18:00.000000000,Equal Opportunities Commission
982 6022 6371,"Ad Hoc Task Force on the Structure of City Government (TFOGS) Final Report Implementation Work Group: Meeting of July 10, 2020",3:15:00 PM,2020-07-10 14:59:00,2020-07-10 16:37:00,1:38:35,21,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796555&GUID=A8AAD2AB-082A-4C08-A054-6994CC7DF5FF,https://madison.legistar.com/View.ashx?M=M&ID=796555&GUID=A8AAD2AB-082A-4C08-A054-6994CC7DF5FF,7/10/2020,14:59,0 days 01:38:00.000000000,Ad Hoc Task Force on the Structure of City Government (TFOGS) Final Report Implementation Work Group
964 5637 3361,"Alder Workgroup to Develop Logistics and Operational Details for MPD Independent Civilian Oversight: Meeting of July 11, 2020",8:30:00 AM,2020-07-11 08:05:00,2020-07-11 10:53:00,2:47:47,47,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796554&GUID=E3F362CD-6B7E-407B-BDFC-102E5BCC3B7C,https://madison.legistar.com/View.ashx?M=M&ID=796554&GUID=E3F362CD-6B7E-407B-BDFC-102E5BCC3B7C,7/11/2020,8:05,0 days 02:48:00.000000000,Alder Workgroup to Develop Logistics and Operational Details for MPD Independent Civilian Oversight
937 7195 3630,"TC Agenda Setting: Meeting of July 13, 2020",,2020-07-13 13:55:00,2020-07-13 15:09:00,1:14:30,9,No,,,7/13/2020,13:55,0 days 01:14:00.000000000,Traffic Calming Subcommittee
932 9604 2201,"Landmarks Commission: Meeting of July 13, 2020",5:00:00 PM,2020-07-13 16:02:00,2020-07-13 19:52:00,3:50:03,82,Yes,https://madison.legistar.com/View.ashx?M=A&ID=721069&GUID=341B249C-24B2-4BFD-BE90-EDDA61DE39F3,https://madison.legistar.com/View.ashx?M=M&ID=721069&GUID=341B249C-24B2-4BFD-BE90-EDDA61DE39F3,7/13/2020,16:02,0 days 03:50:00.000000000,Landmarks Commission
987 5854 8236,"Plan Commission Meeting of July 13, 2020",5:30:00 PM,2020-07-13 16:40:00,2020-07-13 22:56:00,6:15:30,117,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724490&GUID=53A818DF-2574-47CF-82D4-3543B4F4350B,https://madison.legistar.com/View.ashx?M=M&ID=724490&GUID=53A818DF-2574-47CF-82D4-3543B4F4350B,7/13/2020,16:40,0 days 06:16:00.000000000,Plan Commission
990 1241 5336,"Alder Workgroup to Develop Logistics and Operational Details for MPD Independent Civilian Oversight: Meeting of July 13, 2020",6:30:00 PM,2020-07-13 18:18:00,2020-07-13 21:02:00,2:43:52,67,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796973&GUID=170EE458-EC42-4346-AB86-931E9E5C3E3D,https://madison.legistar.com/View.ashx?M=M&ID=796973&GUID=170EE458-EC42-4346-AB86-931E9E5C3E3D,7/13/2020,18:18,0 days 02:44:00.000000000,Alder Workgroup to Develop Logistics and Operational Details for MPD Independent Civilian Oversight
986 0935 4663,City-Wide Violence Meeting,,2020-07-14 09:17:00,2020-07-14 10:28:00,1:11:01,19,No,,,7/14/2020,9:17,0 days 01:11:00.000000000,City-Wide Violence Meeting
976 5585 4386,"Common Council Executive Committee: Meeting of July 14, 2020",4:30:00 PM,2020-07-14 15:32:00,2020-07-14 17:24:00,1:51:50,40,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724053&GUID=4732DE95-728B-4006-A0B2-9BE2009803CE,https://madison.legistar.com/View.ashx?M=M&ID=724053&GUID=4732DE95-728B-4006-A0B2-9BE2009803CE,7/14/2020,15:32,0 days 01:52:00.000000000,Common Council Executive Committee
923 0770 4452,"Common Council: Meeting of July 14, 2020",6:30:00 PM,2020-07-14 17:22:00,2020-07-14 22:32:00,5:09:50,111,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715272&GUID=087DBBEB-9AD3-4605-897F-E31CA96F0C5B,https://madison.legistar.com/View.ashx?M=M&ID=715272&GUID=087DBBEB-9AD3-4605-897F-E31CA96F0C5B,7/14/2020,17:22,0 days 05:10:00.000000000,Common Council Executive Committee
982 5740 5761,"PSRC - Budget Subcommittee: Meeting of July 15, 2020",,2020-07-15 10:42:00,2020-07-15 12:59:00,2:17:16,20,Yes,,,7/15/2020,10:42,0 days 02:17:00.000000000,PSRC
995 6622 1017,"Transportation Policy & Planning Board Meeting of July 15, 2020",5:00:00 PM,2020-07-15 16:07:00,2020-07-15 19:29:00,3:21:16,24,Yes,https://madison.legistar.com/View.ashx?M=A&ID=749831&GUID=96A0D07E-67EF-4BB3-84F6-D754645B3A0E,https://madison.legistar.com/View.ashx?M=M&ID=749831&GUID=96A0D07E-67EF-4BB3-84F6-D754645B3A0E,7/15/2020,16:07,0 days 03:22:00.000000000,Transportation Policy and Planning Board
973 1075 5470,"Alcohol License Review Committee: Meeting of July 15, 2020",5:30:00 PM,2020-07-15 16:17:00,2020-07-15 21:16:00,4:58:50,61,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715294&GUID=3CAEF31F-7BCC-4E44-BA5C-F122380D920C,https://madison.legistar.com/View.ashx?M=M&ID=715294&GUID=3CAEF31F-7BCC-4E44-BA5C-F122380D920C,7/15/2020,16:17,0 days 04:59:00.000000000,Alcohol License Review Committee
988 5318 1950,"Task Force on Municipal Golf in Madison Parks: Meeting of July 15, 2020 ",6:00:00 PM,2020-07-15 17:32:00,2020-07-15 20:46:00,3:13:17,109,Yes,https://madison.legistar.com/View.ashx?M=A&ID=795072&GUID=FD956891-21DB-4718-961C-739D9A92714A,https://madison.legistar.com/View.ashx?M=M&ID=795072&GUID=FD956891-21DB-4718-961C-739D9A92714A,7/15/2020,17:32,0 days 03:14:00.000000000,Task Force on Golf in Madison Parks
993 3085 3329,"PSRC Subcommittee on Madison Police Department Policies: Meeting of July 15, 2020",,2020-07-15 17:42:00,2020-07-15 20:13:00,2:31:15,75,Yes,,,7/15/2020,17:42,0 days 02:31:00.000000000,PSRC
936 9241 7607,"President's Work Group on Council Communication Tools & Processes: Meeting of July 16, 2020",,2020-07-16 11:44:00,2020-07-16 13:46:00,2:01:48,23,No,,,7/16/2020,11:44,0 days 02:02:00.000000000,President's Work Group on Council Communication Tools & Processes
995 4742 5741,"Monona Terrace Community & Convention Center Board Finance Subcommittee: Meeting of July 16, 2020",,2020-07-16 14:32:00,2020-07-16 15:51:00,1:19:01,19,No,,,7/16/2020,14:32,0 days 01:19:00.000000000,Monona Terrace Community & Convention Center Board
983 8623 8644,"Monona Terrace Community & Convention Center Board: Meeting of July 16, 2020",4:00:00 PM,2020-07-16 15:53:00,2020-07-16 17:17:00,1:24:07,35,Yes,https://madison.legistar.com/View.ashx?M=A&ID=742254&GUID=7F9A9E72-CF9A-412D-98FB-15CA65A23D7C,https://madison.legistar.com/View.ashx?M=M&ID=742254&GUID=7F9A9E72-CF9A-412D-98FB-15CA65A23D7C,7/16/2020,15:53,0 days 01:24:00.000000000,Monona Terrace Community & Convention Center Board
973 9437 3698,"CDBG Committee: Meeting of July 16, 2020",5:30:00 PM,2020-07-16 16:36:00,2020-07-16 20:01:00,3:24:20,35,No,https://madison.legistar.com/View.ashx?M=A&ID=737931&GUID=F2020396-E9A2-4480-A236-13518E7158D7,https://madison.legistar.com/View.ashx?M=M&ID=737931&GUID=F2020396-E9A2-4480-A236-13518E7158D7,7/16/2020,16:36,0 days 03:25:00.000000000,CDBG Committee
989 5389 2334,"Traffic Calming Subcommittee: Meeting of July 16, 2020",,2020-07-16 16:43:00,2020-07-16 18:08:00,1:25:15,26,Yes,,,7/16/2020,16:43,0 days 01:25:00.000000000,Traffic Calming Subcommittee
